epoch,train_loss,train_acc,val_loss,val_acc
1,1.2642521858215332,0.4017857142857143,1.3880867958068848,0.25
2,0.7484129326684135,0.8660714285714286,1.3933439254760742,0.25
3,0.3623978453023093,0.9553571428571429,1.3955215215682983,0.25
4,0.2350595678601946,0.9642857142857143,1.3972759246826172,0.25
5,0.16842954073633468,0.9642857142857143,1.386148452758789,0.25
6,0.1503856565271105,0.9732142857142857,1.3136972188949585,0.4583333333333333
7,0.09752645875726428,0.9732142857142857,1.039249062538147,1.0
8,0.08248935746295112,0.9910714285714286,0.6327535510063171,1.0
9,0.06412215956619807,0.9910714285714286,0.34007319808006287,1.0
10,0.0843397006392479,0.9821428571428571,0.11414714902639389,1.0
11,0.1005455351301602,0.9553571428571429,0.10297560691833496,1.0
12,0.0787354510809694,0.9821428571428571,0.03100784868001938,1.0
