epoch,train_loss,train_acc,val_loss,val_acc
1,1.45480443750109,0.23214285714285715,1.3881540298461914,0.25
2,1.3638175555637904,0.33035714285714285,1.3932026624679565,0.25
3,1.3351780005863734,0.39285714285714285,1.404648780822754,0.25
4,1.1910512106759208,0.4732142857142857,1.4068275690078735,0.25
5,1.1732533829552787,0.5178571428571429,1.3900976181030273,0.5
6,1.1507320063454765,0.5982142857142857,1.3542014360427856,0.5
7,1.0949148791176933,0.5714285714285714,1.3028807640075684,0.5
8,0.9947255338941302,0.7678571428571429,1.2472985982894897,0.5
9,0.9911280274391174,0.7321428571428571,1.1835116147994995,0.75
10,0.98836350440979,0.6785714285714286,1.1216994524002075,1.0
11,0.9309225422995431,0.7589285714285714,1.0590111017227173,1.0
12,0.8595050062452044,0.7857142857142857,0.9917244911193848,1.0
